"","countryname","countrycode","regionname","regioncode","jurisdiction","date","c1_school closing","c1_flag","c2_workplace closing","c2_flag","c3_cancel public events","c3_flag","c4_restrictions on gatherings","c4_flag","c5_close public transport","c5_flag","c6_stay at home requirements","c6_flag","c7_restrictions on internal movement","c7_flag","c8_international travel controls","e1_income support","e1_flag","e2_debt/contract relief","e3_fiscal measures","e4_international support","h1_public information campaigns","h1_flag","h2_testing policy","h3_contact tracing","h4_emergency investment in healthcare","h5_investment in vaccines","h6_facial coverings","h6_flag","h7_vaccination policy","h7_flag","h8_protection of elderly people","h8_flag","m1_wildcard","confirmedcases","confirmeddeaths","stringencyindex","stringencyindexfordisplay","stringencylegacyindex","stringencylegacyindexfordisplay","governmentresponseindex","governmentresponseindexfordisplay","containmenthealthindex","containmenthealthindexfordisplay","economicsupportindex","economicsupportindexfordisplay","phsm_change"
"1","Afghanistan","AFG",NA,NA,"NAT_TOTAL",2020-03-25,3,1,3,0,2,1,0,NA,0,NA,2,0,1,0,3,0,NA,0,0,0,2,1,1,1,0,0,0,NA,0,NA,3,0,NA,76,2,59.26,59.26,71.43,71.43,43.75,43.75,50,50,0,0,"increase"
"2","Afghanistan","AFG",NA,NA,"NAT_TOTAL",2020-08-26,2,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,NA,0,0,0,2,1,3,2,0,0,3,1,0,NA,3,1,NA,38103,1402,21.3,21.3,28.57,28.57,35.42,35.42,40.48,40.48,0,0,"decrease"
"3","Albania","ALB",NA,NA,"NAT_TOTAL",2020-03-13,3,1,2,1,2,1,2,1,2,0,2,1,2,1,2,0,NA,0,0,0,2,1,1,1,0,0,0,NA,0,NA,3,1,NA,33,1,78.7,78.7,84.52,84.52,55.73,55.73,63.69,63.69,0,0,"increase"
"4","Albania","ALB",NA,NA,"NAT_TOTAL",2020-06-01,2,1,2,1,2,1,4,1,2,1,1,1,0,NA,3,1,1,2,382052000,0,2,1,1,2,0,0,0,NA,0,NA,3,1,NA,1143,33,71.3,71.3,82.14,82.14,64.06,64.06,62.5,62.5,75,75,"decrease"
"5","Albania","ALB",NA,NA,"NAT_TOTAL",2020-11-12,1,1,2,1,2,1,4,1,0,NA,2,1,2,1,1,1,1,1,0,0,2,1,2,2,0,0,4,1,0,NA,3,1,NA,26211,598,65.74,65.74,64.29,64.29,66.15,66.15,68.45,68.45,50,50,"increase"
"6","Algeria","DZA",NA,NA,"NAT_TOTAL",2020-03-23,3,1,2,1,2,1,0,NA,2,1,3,0,2,0,4,0,NA,0,0,0,1,1,1,0,0,0,0,NA,0,NA,3,0,NA,230,17,75,75,88.1,88.1,49.48,49.48,56.55,56.55,0,0,"increase"
"7","Algeria","DZA",NA,NA,"NAT_TOTAL",2020-04-24,3,1,2,1,2,1,3,1,2,1,2,0,0,NA,4,1,0,1,0,0,2,1,1,0,0,0,0,NA,0,NA,2,0,NA,3127,415,76.85,76.85,89.29,89.29,53.12,53.12,55.36,55.36,37.5,37.5,"decrease"
"8","Andorra","AND",NA,NA,"NAT_TOTAL",2020-03-13,0,NA,0,NA,1,1,0,NA,0,NA,1,1,0,NA,0,2,1,0,0,0,0,NA,1,0,0,0,2,1,0,NA,0,NA,NA,1,0,9.26,9.26,16.67,16.67,16.67,16.67,11.9,11.9,50,50,"increase"
"9","Andorra","AND",NA,NA,"NAT_TOTAL",2020-07-07,1,1,2,1,2,1,3,1,1,1,0,NA,0,NA,2,2,1,2,0,0,0,NA,2,1,0,0,2,1,0,NA,2,1,NA,855,52,41.67,41.67,48.81,48.81,50.52,50.52,43.45,43.45,100,100,"decrease"
"10","Angola","AGO",NA,NA,"NAT_TOTAL",2020-03-27,3,1,3,1,2,1,4,1,2,1,2,1,2,1,4,0,NA,0,0,0,1,1,1,0,0,0,0,NA,0,NA,0,NA,NA,4,0,90.74,90.74,95.24,95.24,53.12,53.12,60.71,60.71,0,0,"increase"
