"assessment_date","country","iso3","region","population","growth_rate","relative_incidence","net_increases","epi_classification","growth_rate_lower","growth_rate_upper","tpr_recent","tpr_before","tpr_change","tpr_last_date_recent","tpr_last_date_before","vac_oneplus_dose_per_100","vac_full_per_100","vaccinations_date"
"2021-11-08","Algeria","DZA","AFRO",43851044,0.018,"6.7%",0,"Minimal",0.011,0.026,,,,,,14.6,11,"2021-11-02"
"2021-11-08","Angola","AGO","AFRO",32866272,-0.075,"6.6%",0,"Minimal",-0.083,-0.067,"3.7%","6.8%","decreasing","2021-11-07","2021-10-31",14.7,5.5,"2021-11-02"
"2021-11-08","Benin","BEN","AFRO",12123200,-0.037,"1.0%",0,"Minimal",-0.059,-0.016,"0.9%","1.4%","constant","2021-10-31","2021-10-24",2.2,1.9,"2021-11-02"
"2021-11-08","Botswana","BWA","AFRO",2351627,0.056,"39.9%",1,"Medium",0.053,0.059,,,,,,30.7,13,"2021-11-04"
"2021-11-08","Burkina Faso","BFA","AFRO",20903273,0.062,"23.2%",1,"Low",0.046,0.079,"19.5%","7.3%","increasing","2021-10-24","2021-10-17",1.7,1.4,"2021-11-04"
"2021-11-08","Burundi","BDI","AFRO",11890784,-0.081,"3.9%",0,"Minimal",-0.096,-0.065,"1.0%","1.0%","constant","2021-11-07","2021-10-31",0,,"2021-11-05"
"2021-11-08","Cabo Verde","CPV","AFRO",555987,-0.041,"1.5%",0,"Minimal",-0.064,-0.018,"1.8%","3.8%","decreasing","2021-11-07","2021-10-31",52.8,39,"2021-10-31"
"2021-11-08","Cameroon","CMR","AFRO",26545863,-0.027,"20.7%",0,"Minimal",-0.031,-0.023,,,,,,1.6,0.6,"2021-11-01"
"2021-11-08","Central African Republic","CAF","AFRO",4829767,-0.032,"0.0%",0,"Minimal",-0.065,0,"87.1%","13.3%","increasing","2021-10-31","2021-10-24",7.5,6.7,"2021-11-01"
"2021-11-08","Chad","TCD","AFRO",16425864,,,,,,,"0.6%","0.9%","constant","2021-10-17","2021-10-10",1,0.4,"2021-10-31"
"2021-11-08","Comoros","COM","AFRO",869601,0.077,"11.0%",0,"Low",0.047,0.108,,,,,,31.5,20.6,"2021-11-03"
"2021-11-08","Congo","COG","AFRO",5518087,-0.028,"23.8%",0,"Minimal",-0.035,-0.02,"9.5%","10.6%","constant","2021-11-07","2021-10-31",7,2.3,"2021-11-04"
"2021-11-08","Côte d'Ivoire","CIV","AFRO",26378274,-0.041,"3.2%",0,"Minimal",-0.057,-0.025,"0.8%","1.9%","decreasing","2021-10-31","2021-10-24",8.8,3.5,"2021-10-31"
"2021-11-08","Democratic Republic of the Congo","COD","AFRO",89561403,0.012,"3.2%",0,"Minimal",-0.007,0.03,"13.5%","9.6%","increasing","2021-08-15","2021-08-08",0.1,0,"2021-10-29"
"2021-11-08","Equatorial Guinea","GNQ","AFRO",1402985,-0.097,"1.6%",0,"Minimal",-0.112,-0.082,,,,,,17.3,13.6,"2021-11-03"
"2021-11-08","Eritrea","ERI","AFRO",3546421,0.151,"20.5%",4,"High",0.121,0.183,,,,,,,,
"2021-11-08","Eswatini","SWZ","AFRO",1160164,0.043,"1.0%",5,"Low",0.01,0.077,,,,,,21.2,20.5,"2021-11-01"
"2021-11-08","Ethiopia","ETH","AFRO",114963588,-0.022,"14.1%",0,"Minimal",-0.025,-0.018,"5.5%","7.1%","decreasing","2021-11-07","2021-10-31",3.2,1.2,"2021-11-07"
"2021-11-08","Gabon","GAB","AFRO",2225734,-0.034,"32.3%",0,"Minimal",-0.041,-0.028,"5.0%","3.6%","increasing","2021-11-07","2021-10-31",5.9,4.5,"2021-11-04"
"2021-11-08","Gambia","GMB","AFRO",2416668,-0.034,"0.6%",0,"Minimal",-0.098,0.029,"0.5%","1.7%","constant","2021-10-31","2021-10-24",9.7,9.1,"2021-10-31"
"2021-11-08","Ghana","GHA","AFRO",31072940,-0.038,"5.1%",0,"Minimal",-0.048,-0.029,,,,,,7.3,2.7,"2021-11-04"
"2021-11-08","Guinea","GIN","AFRO",13132795,-0.058,"2.1%",0,"Minimal",-0.091,-0.026,"2.3%","2.3%","constant","2021-11-07","2021-10-31",11.7,5.7,"2021-11-03"
"2021-11-08","Guinea-Bissau","GNB","AFRO",1968001,,,,,,,"2.0%","0.2%","increasing","2021-11-07","2021-10-31",8.5,0.7,"2021-11-03"
"2021-11-08","Kenya","KEN","AFRO",53771296,0.002,"5.5%",0,"Minimal",-0.005,0.01,"1.7%","2.1%","decreasing","2021-11-07","2021-10-31",7,3.4,"2021-11-06"
"2021-11-08","Lesotho","LSO","AFRO",2142249,0.005,"0.7%",1,"Minimal",-0.02,0.031,"1.1%","1.0%","constant","2021-11-07","2021-10-31",16.2,15.8,"2021-10-10"
"2021-11-08","Liberia","LBR","AFRO",5057681,,,,,,,,,,,,7.8,7.3,"2021-11-02"
"2021-11-08","Madagascar","MDG","AFRO",27691018,-0.056,"0.1%",0,"Minimal",-0.143,0.026,"3.5%","1.3%","increasing","2021-08-29","2021-08-22",1.4,0.7,"2021-10-20"
"2021-11-08","Malawi","MWI","AFRO",19129952,-0.033,"0.3%",1,"Minimal",-0.066,-0.001,,,,,,5.2,2.9,"2021-11-07"
"2021-11-08","Mali","MLI","AFRO",20250833,0.036,"18.7%",1,"Low",0.024,0.048,"4.4%","3.1%","increasing","2021-11-07","2021-10-31",1.6,1.3,"2021-11-02"
"2021-11-08","Mauritania","MRT","AFRO",4649658,0.031,"12.9%",2,"Low",0.021,0.041,"5.5%","3.5%","increasing","2021-11-07","2021-10-31",21.6,13.4,"2021-11-04"
"2021-11-08","Mauritius","MUS","AFRO",1271768,0.014,"28.6%",1,"Minimal",0.007,0.022,"7.3%","5.6%","increasing","2021-11-07","2021-10-31",71.2,67.2,"2021-11-04"
"2021-11-08","Mayotte","MYT","AFRO",272815,0.041,"3.3%",0,"Minimal",0.019,0.064,,,,,,,,
"2021-11-08","Mozambique","MOZ","AFRO",31255435,-0.015,"0.6%",1,"Minimal",-0.035,0.005,"1.3%","1.3%","constant","2021-11-07","2021-10-31",13.3,7.8,"2021-11-04"
