assessment_date,country,iso3,region,population,growth_rate,relative_incidence,net_increases,epi_classification,growth_rate_lower,growth_rate_upper,tpr_recent,tpr_before,tpr_change,tpr_last_date_recent,tpr_last_date_before,vac_oneplus_dose_per_100,vac_full_per_100,vaccinations_date
2021-10-04,Algeria,DZA,AFRO,43851044,-0.024,10.0%,1,Minimal,-0.029,-0.019,,,,,,13.7,9.2,2021-09-25
2021-10-04,Angola,AGO,AFRO,32866272,0.047,141.7%,1,High,0.044,0.051,,,,,,6.5,3.1,2021-09-26
2021-10-04,Benin,BEN,AFRO,12123200,-0.073,16.2%,0,Minimal,-0.078,-0.067,,,,,,1.9,0.2,2021-09-30
2021-10-04,Botswana,BWA,AFRO,2351627,-0.102,17.6%,0,Minimal,-0.105,-0.1,,,,,,16.8,10,2021-09-30
2021-10-04,Burkina Faso,BFA,AFRO,20903273,0.046,11.4%,0,Low,0.029,0.063,5.9%,3.4%,increasing,2021-10-03,2021-09-26,1.1,0.8,2021-09-22
2021-10-04,Burundi,BDI,AFRO,11890784,-0.059,50.5%,0,Minimal,-0.064,-0.054,3.0%,3.7%,decreasing,2021-10-03,2021-09-26,,,
2021-10-04,Cabo Verde,CPV,AFRO,555987,-0.052,9.8%,0,Minimal,-0.063,-0.042,5.0%,7.7%,decreasing,2021-10-03,2021-09-26,51.6,25.7,2021-09-30
2021-10-04,Cameroon,CMR,AFRO,26545863,0.084,77.0%,1,High,0.08,0.087,,,,,,1.5,0.3,2021-09-29
2021-10-04,Central African Republic,CAF,AFRO,4829767,-0.022,0.3%,0,Minimal,-0.059,0.016,9.2%,4.9%,constant,2021-10-03,2021-09-26,4.1,0.2,2021-09-30
2021-10-04,Chad,TCD,AFRO,16425864,,,,,,,0.5%,0.3%,constant,2021-10-03,2021-09-26,0.8,0.2,2021-09-29
2021-10-04,Comoros,COM,AFRO,869601,0.097,6.2%,4,High,0.051,0.145,,,,,,21.9,18.6,2021-09-29
2021-10-04,Congo,COG,AFRO,5518087,0.065,33.0%,1,Medium,0.053,0.076,9.3%,8.9%,constant,2021-10-03,2021-09-26,4.2,2.1,2021-09-30
2021-10-04,Côte d'Ivoire,CIV,AFRO,26378274,-0.037,15.4%,0,Minimal,-0.044,-0.03,4.3%,5.8%,decreasing,2021-09-26,2021-09-19,,,2021-10-01
2021-10-04,Democratic Republic of the Congo,COD,AFRO,89561403,-0.006,6.7%,0,Minimal,-0.017,0.005,13.5%,9.6%,increasing,2021-08-15,2021-08-08,0.1,0,2021-09-30
2021-10-04,Equatorial Guinea,GNQ,AFRO,1402985,-0.018,22.5%,0,Minimal,-0.026,-0.011,,,,,,16,11.9,2021-09-30
2021-10-04,Eritrea,ERI,AFRO,3546421,0.03,4.7%,0,Minimal,-0.01,0.07,,,,,,,,
2021-10-04,Eswatini,SWZ,AFRO,1160164,-0.05,5.2%,1,Minimal,-0.059,-0.04,,,,,,18.8,18.1,2021-09-29
2021-10-04,Ethiopia,ETH,AFRO,114963588,-0.018,46.5%,0,Minimal,-0.02,-0.016,15.3%,15.7%,constant,2021-09-26,2021-09-19,2.5,0.8,2021-10-03
2021-10-04,Gabon,GAB,AFRO,2225734,0.006,102.6%,0,High,0.001,0.011,4.5%,5.1%,decreasing,2021-10-03,2021-09-26,4.6,3.5,2021-09-30
2021-10-04,Gambia,GMB,AFRO,2416668,-0.08,0.5%,0,Minimal,-0.118,-0.044,0.9%,2.4%,constant,2021-10-03,2021-09-26,7.6,7.1,2021-09-29
2021-10-04,Ghana,GHA,AFRO,31072940,-0.044,13.9%,0,Minimal,-0.049,-0.038,8.4%,4.8%,increasing,2021-07-25,2021-07-18,2.8,2.4,2021-09-20
2021-10-04,Guinea,GIN,AFRO,13132795,-0.04,5.5%,0,Minimal,-0.057,-0.023,2.1%,2.8%,constant,2021-10-03,2021-09-26,9.3,4.4,2021-09-30
2021-10-04,Guinea-Bissau,GNB,AFRO,1968001,-0.104,1.7%,0,Minimal,-0.143,-0.067,1.0%,1.9%,constant,2021-10-03,2021-09-26,4.4,0.4,2021-09-22
2021-10-04,Kenya,KEN,AFRO,53771296,-0.032,17.4%,0,Minimal,-0.036,-0.028,4.3%,5.7%,decreasing,2021-10-03,2021-09-26,5.5,1.7,2021-10-03
2021-10-04,Lesotho,LSO,AFRO,2142249,,183.6%,5,,,,8.5%,8.7%,constant,2021-08-29,2021-08-22,15.2,14.8,2021-09-29
2021-10-04,Liberia,LBR,AFRO,5057681,,0.4%,0,,,,,,,,,2.1,0.5,2021-08-23
2021-10-04,Madagascar,MDG,AFRO,27691018,-0.077,0.6%,0,Minimal,-0.09,-0.064,3.5%,1.3%,increasing,2021-08-29,2021-08-22,0.7,0.7,2021-09-20
2021-10-04,Malawi,MWI,AFRO,19129952,-0.056,1.5%,0,Minimal,-0.071,-0.041,,,,,,4.3,2.6,2021-10-04
2021-10-04,Mali,MLI,AFRO,20250833,0.039,7.6%,0,Low,0.021,0.058,1.6%,0.5%,increasing,2021-10-03,2021-09-26,1.6,1.2,2021-10-01
2021-10-04,Mauritania,MRT,AFRO,4649658,-0.06,9.0%,0,Minimal,-0.069,-0.051,3.1%,3.7%,constant,2021-10-03,2021-09-26,,12.3,2021-09-27
2021-10-04,Mauritius,MUS,AFRO,1271768,-0.103,15.3%,0,Minimal,-0.11,-0.096,14.2%,11.0%,increasing,2021-10-03,2021-09-26,67.3,62.9,2021-09-30
2021-10-04,Mayotte,MYT,AFRO,272815,-0.016,2.8%,1,Minimal,-0.035,0.003,,,,,,,,
2021-10-04,Mozambique,MOZ,AFRO,31255435,-0.075,2.1%,0,Minimal,-0.084,-0.067,5.1%,4.4%,constant,2021-10-03,2021-09-26,6.1,5.6,2021-09-14
2021-10-04,Namibia,NAM,AFRO,2540905,0.006,4.1%,2,Minimal,-0.002,0.015,7.8%,5.5%,increasing,2021-09-26,2021-09-19,10.3,6.6,2021-09-30
2021-10-04,Niger,NER,AFRO,24206644,0.02,7.7%,0,Minimal,-0.009,0.048,2.6%,1.0%,increasing,2021-10-03,2021-09-26,1.7,0.5,2021-09-29
2021-10-04,Nigeria,NGA,AFRO,206139589,-0.036,14.4%,0,Minimal,-0.04,-0.032,,,,,,2.3,0.9,2021-09-30
2021-10-04,Réunion,REU,AFRO,895312,-0.319,0.0%,0,Minimal,-0.336,-0.303,,,,,,,,
2021-10-04,Rwanda,RWA,AFRO,12952218,-0.072,10.5%,0,Minimal,-0.077,-0.068,1.1%,1.9%,decreasing,2021-10-03,2021-09-26,16.4,13,2021-10-01
2021-10-04,Saint Helena,SHN,AFRO,6071,,,,,,,,,,,,71.8,58.2,2021-05-05
2021-10-04,Sao Tome and Principe,STP,AFRO,219159,-0.016,56.7%,0,Minimal,-0.028,-0.004,,,,,,31.2,12,2021-10-02
2021-10-04,Senegal,SEN,AFRO,16743927,-0.061,0.8%,0,Minimal,-0.08,-0.042,0.7%,0.9%,constant,2021-10-03,2021-09-26,7.5,3.4,2021-09-30
2021-10-04,Seychelles,SYC,AFRO,98347,-0.056,7.8%,0,Minimal,-0.068,-0.044,,,,,,78.6,72.3,2021-09-16
2021-10-04,Sierra Leone,SLE,AFRO,7976983,,,,,,,,,,,,2.4,0.6,2021-09-29
2021-10-04,South Africa,ZAF,AFRO,59308690,-0.063,6.8%,1,Minimal,-0.064,-0.061,7.1%,9.3%,decreasing,2021-09-26,2021-09-19,21.6,15.3,2021-10-03
