"assessment_date","country","iso3","region","population","growth_rate","relative_incidence","net_increases","epi_classification","growth_rate_lower","growth_rate_upper","tpr_recent","tpr_before","tpr_change","tpr_last_date_recent","tpr_last_date_before","vac_oneplus_dose_per_100","vac_full_per_100","vaccinations_date"
"2021-11-29","Algeria","DZA","AFRO",43851044,0.03,"12.0%",2,"Low",0.024,0.036,,,,,,15.3,12.1,"2021-11-22"
"2021-11-29","Angola","AGO","AFRO",32866272,-0.044,"3.0%",2,"Minimal",-0.059,-0.029,"5.4%","6.8%","constant","2021-11-28","2021-11-21",19.1,8.4,"2021-11-24"
"2021-11-29","Benin","BEN","AFRO",12123200,-0.102,"0.1%",0,"Minimal",-0.157,-0.05,"0.4%","0.4%","constant","2021-11-21","2021-11-14",2.8,2.5,"2021-11-19"
"2021-11-29","Botswana","BWA","AFRO",2351627,-0.05,"2.9%",1,"Minimal",-0.058,-0.043,,,,,,37.6,20,"2021-11-24"
"2021-11-29","Burkina Faso","BFA","AFRO",20903273,0.022,"14.7%",0,"Minimal",0.009,0.035,"19.5%","7.3%","increasing","2021-10-24","2021-10-17",1.7,1.4,"2021-11-04"
"2021-11-29","Burundi","BDI","AFRO",11890784,-0.027,"2.7%",0,"Minimal",-0.048,-0.006,"0.6%","0.9%","constant","2021-11-28","2021-11-21",0,0,"2021-11-23"
"2021-11-29","Cabo Verde","CPV","AFRO",555987,-0.033,"1.4%",1,"Minimal",-0.063,-0.002,"2.0%","1.3%","constant","2021-11-28","2021-11-21",54.6,42.5,"2021-11-19"
"2021-11-29","Cameroon","CMR","AFRO",26545863,-0.099,"6.8%",0,"Minimal",-0.106,-0.092,,,,,,2.8,2.1,"2021-11-24"
"2021-11-29","Central African Republic","CAF","AFRO",4829767,-0.068,"1.0%",0,"Minimal",-0.099,-0.039,"0.0%","19.9%","decreasing","2021-11-21","2021-11-14",7.5,6.7,"2021-11-19"
"2021-11-29","Chad","TCD","AFRO",16425864,,,,,,,"0.6%","0.9%","constant","2021-10-17","2021-10-10",1.1,0.4,"2021-11-21"
"2021-11-29","Comoros","COM","AFRO",869601,-0.023,"5.6%",0,"Minimal",-0.048,0.002,,,,,,32,22.8,"2021-11-14"
"2021-11-29","Congo","COG","AFRO",5518087,-0.062,"16.3%",0,"Minimal",-0.073,-0.051,"7.1%","11.2%","decreasing","2021-11-28","2021-11-21",9,2.3,"2021-11-24"
"2021-11-29","Côte d'Ivoire","CIV","AFRO",26378274,0.031,"3.6%",1,"Minimal",0.012,0.05,"0.7%","1.0%","constant","2021-11-21","2021-11-14",10.1,4.5,"2021-11-14"
"2021-11-29","Democratic Republic of the Congo","COD","AFRO",89561403,0.041,"8.7%",1,"Low",0.026,0.055,"13.5%","9.6%","increasing","2021-08-15","2021-08-08",0.2,0.1,"2021-11-24"
"2021-11-29","Equatorial Guinea","GNQ","AFRO",1402985,-0.021,"1.7%",0,"Minimal",-0.046,0.003,,,,,,17.6,14.1,"2021-11-25"
"2021-11-29","Eritrea","ERI","AFRO",3546421,0.031,"24.0%",2,"Minimal",0.014,0.049,,,,,,,,
"2021-11-29","Eswatini","SWZ","AFRO",1160164,0.089,"0.8%",5,"Medium",0.048,0.132,,,,,,22.3,21.5,"2021-11-11"
"2021-11-29","Ethiopia","ETH","AFRO",114963588,-0.016,"7.5%",0,"Minimal",-0.021,-0.011,"2.9%","3.5%","decreasing","2021-11-28","2021-11-21",6.1,1.2,"2021-11-27"
"2021-11-29","Gabon","GAB","AFRO",2225734,-0.039,"17.2%",0,"Minimal",-0.049,-0.029,"3.9%","1.5%","increasing","2021-11-28","2021-11-21",7.5,5,"2021-11-24"
"2021-11-29","Gambia","GMB","AFRO",2416668,-0.111,"0.1%",0,"Minimal",-0.21,-0.024,,,,,,9.8,9.2,"2021-11-21"
"2021-11-29","Ghana","GHA","AFRO",31072940,-0.057,"3.1%",0,"Minimal",-0.072,-0.043,,,,,,8.5,2.7,"2021-11-24"
